t(s),Req(m),CR,CV,Cn,kappa,T_gain,k,a,R0,tau_e
0.000470,0.814863,1.006304,1.020661,1.020661,1.711953,0.974045,5.359911,0.339399,0.475028,0.011603
0.000480,0.814462,1.006799,1.022305,1.022305,1.713547,0.974250,5.363693,0.339079,0.474680,0.011586
0.000490,0.814040,1.007321,1.024005,1.024005,1.715208,0.974488,5.367644,0.338746,0.474319,0.011569
0.000500,0.813597,1.007870,1.025827,1.025827,1.716928,0.974800,5.371728,0.338403,0.473944,0.011552
0.000510,0.813133,1.008446,1.027699,1.027699,1.718729,0.975141,5.376017,0.338043,0.473553,0.011533
0.000520,0.812646,1.009049,1.029706,1.029706,1.720618,0.975562,5.380502,0.337667,0.473142,0.011514
0.000530,0.812137,1.009682,1.031799,1.031799,1.722569,0.976035,5.385141,0.337280,0.472719,0.011494
0.000540,0.811606,1.010343,1.033957,1.033957,1.724579,0.976545,5.389932,0.336881,0.472284,0.011474
0.000550,0.811051,1.011034,1.036244,1.036244,1.726678,0.977132,5.394925,0.336467,0.471830,0.011453
0.000560,0.810473,1.011754,1.038593,1.038593,1.728815,0.977753,5.400025,0.336045,0.471370,0.011431
0.000570,0.809872,1.012506,1.041080,1.041080,1.731030,0.978456,5.405299,0.335609,0.470891,0.011409
0.000580,0.809246,1.013288,1.043620,1.043620,1.733276,0.979188,5.410672,0.335167,0.470408,0.011386
0.000590,0.808597,1.014102,1.046294,1.046294,1.735587,0.979997,5.416189,0.334714,0.469911,0.011363
0.000600,0.807923,1.014948,1.049068,1.049068,1.737919,0.980864,5.421761,0.334259,0.469409,0.011340
0.000610,0.807224,1.015827,1.051944,1.051944,1.740286,0.981789,5.427422,0.333797,0.468900,0.011316
0.000620,0.806501,1.016738,1.054925,1.054925,1.742698,0.982773,5.433195,0.333328,0.468381,0.011292
0.000630,0.805752,1.017683,1.058017,1.058017,1.745111,0.983820,5.438978,0.332859,0.467862,0.011268
0.000640,0.804966,1.018677,1.061263,1.061263,1.747604,0.984955,5.444955,0.332377,0.467326,0.011243
0.000650,0.804155,1.019704,1.064607,1.064607,1.750115,0.986145,5.450982,0.331892,0.466786,0.011218
0.000660,0.803326,1.020756,1.068035,1.068035,1.752644,0.987380,5.457056,0.331405,0.466243,0.011193
0.000670,0.802464,1.021852,1.071600,1.071600,1.755215,0.988691,5.463236,0.330911,0.465691,0.011168
0.000680,0.801577,1.022984,1.075276,1.075276,1.757866,0.990062,5.469609,0.330403,0.465124,0.011142
0.000690,0.800664,1.024150,1.079070,1.079070,1.760506,0.991499,5.475968,0.329899,0.464559,0.011116
0.000700,0.799726,1.025351,1.082982,1.082982,1.763216,0.992999,5.482492,0.329383,0.463980,0.011090
0.000710,0.798771,1.026578,1.086968,1.086968,1.765982,0.994536,5.489152,0.328858,0.463391,0.011063
0.000720,0.797792,1.027836,1.091060,1.091060,1.768727,0.996128,5.495770,0.328338,0.462806,0.011036
0.000730,0.796790,1.029130,1.095275,1.095275,1.771534,0.997786,5.502545,0.327808,0.462210,0.011009
0.000740,0.795762,1.030459,1.099622,1.099622,1.774418,0.999515,5.509507,0.327265,0.461599,0.010981
0.000750,0.794709,1.031824,1.104054,1.104054,1.777378,1.001285,5.516657,0.326710,0.460974,0.010953
0.000760,0.793631,1.033226,1.108623,1.108623,1.780339,1.003128,5.523817,0.326156,0.460349,0.010924
0.000770,0.792527,1.034665,1.113309,1.113309,1.783352,1.005032,5.531112,0.325594,0.459715,0.010896
0.000780,0.791399,1.036140,1.118079,1.118079,1.786443,1.006975,5.538593,0.325020,0.459067,0.010866
0.000790,0.790245,1.037652,1.123006,1.123006,1.789608,1.009001,5.546265,0.324433,0.458405,0.010836
0.000800,0.789067,1.039202,1.128036,1.128036,1.792850,1.011076,5.554127,0.323835,0.457730,0.010806
0.000810,0.787864,1.040789,1.133207,1.133207,1.796163,1.013224,5.562166,0.323225,0.457043,0.010774
0.000820,0.786636,1.042413,1.138469,1.138469,1.799467,1.015414,5.570191,0.322619,0.456358,0.010743
0.000830,0.785384,1.044075,1.143895,1.143895,1.802846,1.017689,5.578408,0.322002,0.455660,0.010712
0.000840,0.784108,1.045774,1.149424,1.149424,1.806302,1.020011,5.586815,0.321373,0.454949,0.010679
0.000850,0.782808,1.047512,1.155086,1.155086,1.809833,1.022399,5.595412,0.320732,0.454225,0.010647
0.000860,0.781483,1.049287,1.160891,1.160891,1.813441,1.024857,5.604204,0.320080,0.453489,0.010613
0.000870,0.780135,1.051100,1.166829,1.166829,1.817125,1.027379,5.613188,0.319417,0.452740,0.010579
0.000880,0.778764,1.052951,1.172882,1.172882,1.820886,1.029953,5.622367,0.318742,0.451979,0.010545
0.000890,0.777369,1.054840,1.179041,1.179041,1.824670,1.032575,5.631612,0.318066,0.451215,0.010510
0.000900,0.775952,1.056767,1.185352,1.185352,1.828404,1.035269,5.640752,0.317401,0.450462,0.010476
0.000910,0.774511,1.058733,1.191781,1.191781,1.832215,1.038016,5.650082,0.316726,0.449696,0.010442
0.000920,0.773048,1.060737,1.198355,1.198355,1.836099,1.040831,5.659605,0.316039,0.448918,0.010407
0.000930,0.771562,1.062779,1.205110,1.205110,1.840068,1.043733,5.669318,0.315342,0.448129,0.010371
0.000940,0.770054,1.064860,1.211899,1.211899,1.844114,1.046638,5.679224,0.314635,0.447329,0.010335
0.000950,0.768524,1.066980,1.218865,1.218865,1.848231,1.049627,5.689327,0.313917,0.446518,0.010298
0.000960,0.766973,1.069138,1.226069,1.226069,1.852428,1.052734,5.699625,0.313189,0.445694,0.010261
0.000970,0.765400,1.071336,1.233302,1.233302,1.856701,1.055839,5.710122,0.312451,0.444860,0.010223
0.000980,0.763806,1.073572,1.240696,1.240696,1.861049,1.059016,5.720820,0.311704,0.444016,0.010185
0.000990,0.762190,1.075847,1.248325,1.248325,1.865479,1.062308,5.731718,0.310945,0.443159,0.010146
0.001000,0.760555,1.078161,1.255936,1.255936,1.869985,1.065568,5.742814,0.310178,0.442293,0.010107
0.001010,0.758898,1.080514,1.263768,1.263768,1.874566,1.068934,5.754117,0.309401,0.441416,0.010067
0.001020,0.757221,1.082907,1.271759,1.271759,1.879223,1.072367,5.765627,0.308614,0.440529,0.010027
0.001030,0.755515,1.085353,1.279982,1.279982,1.883995,1.075909,5.777407,0.307812,0.439625,0.009986
0.001040,0.753790,1.087836,1.288300,1.288300,1.888836,1.079482,5.789381,0.307003,0.438713,0.009945
0.001050,0.752051,1.090352,1.296726,1.296726,1.893740,1.083091,5.801529,0.306186,0.437794,0.009904
0.001060,0.750287,1.092915,1.305304,1.305304,1.898735,1.086762,5.813927,0.305358,0.436864,0.009861
0.001070,0.748505,1.095518,1.314142,1.314142,1.903808,1.090553,5.826527,0.304522,0.435922,0.009819
0.001080,0.746704,1.098160,1.323063,1.323063,1.908972,1.094365,5.839342,0.303676,0.434971,0.009776
0.001090,0.744885,1.100841,1.332104,1.332104,1.914223,1.098219,5.852363,0.302822,0.434010,0.009732
0.001100,0.743054,1.103553,1.341366,1.341366,1.919534,1.102168,5.865547,0.301962,0.433043,0.009689
0.001110,0.741207,1.106303,1.350841,1.350841,1.924909,1.106207,5.878940,0.301095,0.432070,0.009645
0.001120,0.739343,1.109093,1.360342,1.360342,1.930367,1.110234,5.892543,0.300219,0.431088,0.009600
0.001130,0.737462,1.111922,1.370036,1.370036,1.935908,1.114338,5.906360,0.299336,0.430097,0.009555
0.001140,0.735563,1.114792,1.379964,1.379964,1.941525,1.118540,5.920401,0.298444,0.429097,0.009510
0.001150,0.733648,1.117702,1.390094,1.390094,1.947231,1.122824,5.934667,0.297544,0.428087,0.009464
0.001160,0.731716,1.120654,1.400285,1.400285,1.953028,1.127110,5.949159,0.296636,0.427069,0.009418
0.001170,0.729767,1.123646,1.410744,1.410744,1.958887,1.131511,5.963872,0.295720,0.426044,0.009372
0.001180,0.727802,1.126679,1.421316,1.421316,1.964834,1.135941,5.978808,0.294797,0.425011,0.009325
0.001190,0.725822,1.129754,1.432132,1.432132,1.970873,1.140470,5.993972,0.293866,0.423968,0.009278
0.001200,0.723825,1.132870,1.443093,1.443093,1.976982,1.145043,6.009370,0.292928,0.422919,0.009230
0.001210,0.721813,1.136028,1.454257,1.454257,1.983183,1.149692,6.024989,0.291983,0.421861,0.009183
0.001220,0.719786,1.139228,1.465660,1.465660,1.989460,1.154433,6.040850,0.291030,0.420797,0.009134
0.001230,0.717744,1.142469,1.477081,1.477081,1.995833,1.159149,6.056942,0.290070,0.419727,0.009086
0.001240,0.715686,1.145753,1.488837,1.488837,2.002283,1.164006,6.073271,0.289103,0.418648,0.009037
0.001250,0.713615,1.149080,1.500838,1.500838,2.008836,1.168955,6.089837,0.288129,0.417560,0.008988
0.001260,0.711528,1.152449,1.513162,1.513162,2.015500,1.174035,6.106685,0.287146,0.416460,0.008939
0.001270,0.709428,1.155860,1.525504,1.525504,2.022221,1.179087,6.123741,0.286159,0.415359,0.008889
0.001280,0.707314,1.159315,1.538046,1.538046,2.029024,1.184204,6.141047,0.285164,0.414252,0.008839
0.001290,0.705186,1.162814,1.550738,1.550738,2.035914,1.189359,6.158606,0.284164,0.413138,0.008788
0.001300,0.703045,1.166355,1.563836,1.563836,2.042893,1.194683,6.176407,0.283157,0.412016,0.008738
0.001310,0.700890,1.169941,1.577014,1.577014,2.049966,1.200007,6.194462,0.282143,0.410888,0.008687
0.001320,0.698723,1.173570,1.590554,1.590554,2.057107,1.205473,6.212781,0.281124,0.409754,0.008636
0.001330,0.696542,1.177244,1.604116,1.604116,2.064346,1.210909,6.231357,0.280098,0.408615,0.008584
0.001340,0.694349,1.180962,1.618107,1.618107,2.071686,1.216518,6.250197,0.279066,0.407467,0.008533
0.001350,0.692144,1.184725,1.632328,1.632328,2.079126,1.222197,6.269293,0.278028,0.406312,0.008481
0.001360,0.689926,1.188533,1.646672,1.646672,2.086641,1.227893,6.288657,0.276985,0.405154,0.008429
0.001370,0.687696,1.192387,1.661287,1.661287,2.094258,1.233679,6.308289,0.275936,0.403990,0.008376
0.001380,0.685455,1.196286,1.676231,1.676231,2.101972,1.239581,6.328182,0.274881,0.402818,0.008324
0.001390,0.683202,1.200231,1.691462,1.691462,2.109763,1.245576,6.348362,0.273821,0.401643,0.008271
0.001400,0.680937,1.204223,1.706965,1.706965,2.117645,1.251657,6.368812,0.272756,0.400461,0.008218
0.001410,0.678662,1.208260,1.722661,1.722661,2.125650,1.257781,6.389586,0.271682,0.399272,0.008165
0.001420,0.676375,1.212345,1.738670,1.738670,2.133749,1.264008,6.410639,0.270604,0.398076,0.008111
0.001430,0.674078,1.216477,1.754731,1.754731,2.141923,1.270208,6.431951,0.269523,0.396880,0.008057
0.001440,0.671770,1.220657,1.771251,1.771251,2.150162,1.276577,6.453569,0.268436,0.395679,0.008003
0.001450,0.669451,1.224884,1.788140,1.788140,2.158523,1.283069,6.475468,0.267344,0.394470,0.007949
0.001460,0.667123,1.229159,1.805440,1.805440,2.167008,1.289703,6.497674,0.266246,0.393254,0.007895
0.001470,0.664784,1.233483,1.822871,1.822871,2.175595,1.296342,6.520174,0.265144,0.392034,0.007841
0.001480,0.662436,1.237856,1.840787,1.840787,2.184234,1.303153,6.542983,0.264038,0.390811,0.007786
0.001490,0.660077,1.242278,1.858815,1.858815,2.192997,1.309958,6.566083,0.262927,0.389584,0.007732
0.001500,0.657710,1.246750,1.877024,1.877024,2.201860,1.316789,6.589501,0.261811,0.388353,0.007677
0.001510,0.655333,1.251272,1.895719,1.895719,2.210796,1.323786,6.613246,0.260691,0.387118,0.007622
0.001520,0.652943,1.255852,1.914786,1.914786,2.219847,1.330894,6.637343,0.259565,0.385877,0.007566
0.001530,0.650545,1.260482,1.934243,1.934243,2.229015,1.338118,6.661757,0.258435,0.384630,0.007511
0.001540,0.648140,1.265159,1.953916,1.953916,2.238271,1.345377,6.686464,0.257302,0.383381,0.007456
0.001550,0.645728,1.269885,1.974212,1.974212,2.247597,1.352855,6.711510,0.256165,0.382128,0.007400
0.001560,0.643307,1.274663,1.994493,1.994493,2.257043,1.360258,6.736878,0.255024,0.380872,0.007344
0.001570,0.640879,1.279494,2.015357,2.015357,2.266585,1.367857,6.762605,0.253879,0.379612,0.007289
0.001580,0.638442,1.284377,2.036692,2.036692,2.276235,1.375598,6.788664,0.252730,0.378347,0.007233
0.001590,0.635997,1.289314,2.058193,2.058193,2.285991,1.383341,6.815060,0.251577,0.377080,0.007177
0.001600,0.633545,1.294304,2.080457,2.080457,2.295822,1.391352,6.841823,0.250421,0.375809,0.007121
0.001610,0.631085,1.299349,2.102806,2.102806,2.305793,1.399323,6.868924,0.249262,0.374534,0.007065
0.001620,0.628618,1.304449,2.125647,2.125647,2.315850,1.407437,6.896434,0.248097,0.373255,0.007009
0.001630,0.626143,1.309605,2.148922,2.148922,2.325981,1.415663,6.924292,0.246930,0.371975,0.006952
0.001640,0.623661,1.314816,2.172920,2.172920,2.336311,1.424124,6.952607,0.245755,0.370683,0.006896
0.001650,0.621173,1.320084,2.197148,2.197148,2.346690,1.432603,6.981216,0.244581,0.369394,0.006839
0.001660,0.618677,1.325409,2.222118,2.222118,2.357133,1.441319,7.010219,0.243403,0.368102,0.006783
0.001670,0.616175,1.330791,2.247097,2.247097,2.367758,1.449952,7.039675,0.242219,0.366804,0.006726
0.001680,0.613666,1.336232,2.272833,2.272833,2.378395,1.458822,7.069481,0.241035,0.365507,0.006670
0.001690,0.611151,1.341731,2.299103,2.299103,2.389185,1.467830,7.099664,0.239848,0.364206,0.006613
0.001700,0.608629,1.347290,2.325989,2.325989,2.400059,1.477006,7.130265,0.238657,0.362902,0.006556
0.001710,0.606102,1.352908,2.353245,2.353245,2.411011,1.486243,7.161292,0.237464,0.361597,0.006500
0.001720,0.603568,1.358587,2.380820,2.380820,2.422149,1.495519,7.192729,0.236267,0.360286,0.006443
0.001730,0.601029,1.364328,2.409443,2.409443,2.433280,1.505133,7.224615,0.235068,0.358975,0.006386
0.001740,0.598483,1.370130,2.438619,2.438619,2.444571,1.514875,7.256929,0.233865,0.357659,0.006330
0.001750,0.595933,1.375994,2.468127,2.468127,2.455931,1.524649,7.289686,0.232660,0.356343,0.006273
0.001760,0.593376,1.381922,2.498467,2.498467,2.467391,1.534658,7.322886,0.231453,0.355024,0.006216
0.001770,0.590815,1.387914,2.529406,2.529406,2.478964,1.544803,7.356551,0.230242,0.353702,0.006159
0.001780,0.588248,1.393971,2.560817,2.560817,2.490606,1.555027,7.390679,0.229029,0.352379,0.006103
0.001790,0.585676,1.400093,2.593095,2.593095,2.502355,1.565487,7.425285,0.227813,0.351052,0.006046
0.001800,0.583098,1.406281,2.626160,2.626160,2.514202,1.576146,7.460366,0.226595,0.349723,0.005989
0.001810,0.580516,1.412536,2.659781,2.659781,2.526111,1.586905,7.495941,0.225375,0.348393,0.005932
0.001820,0.577929,1.418859,2.694347,2.694347,2.538121,1.597915,7.532015,0.224152,0.347060,0.005876
0.001830,0.575338,1.425250,2.729469,2.729469,2.550207,1.609017,7.568597,0.222927,0.345726,0.005819
0.001840,0.572741,1.431711,2.765725,2.765725,2.562381,1.620434,7.605691,0.221700,0.344389,0.005762
0.001850,0.570140,1.438242,2.802038,2.802038,2.574692,1.631738,7.643289,0.220470,0.343051,0.005706
0.001860,0.567535,1.444845,2.840200,2.840200,2.587050,1.643623,7.681487,0.219236,0.341707,0.005649
0.001870,0.564925,1.451519,2.878854,2.878854,2.599401,1.655554,7.720213,0.218002,0.340365,0.005593
0.001880,0.562311,1.458267,2.918566,2.918566,2.611851,1.667744,7.759476,0.216766,0.339021,0.005536
0.001890,0.559693,1.465088,2.958767,2.958767,2.624461,1.679971,7.799330,0.215526,0.337674,0.005480
0.001900,0.557070,1.471988,3.000670,3.000670,2.636982,1.692687,7.839780,0.214285,0.336325,0.005423
0.001910,0.554443,1.478963,3.042429,3.042429,2.649663,1.705192,7.880789,0.213042,0.334977,0.005367
0.001920,0.551812,1.486012,3.086522,3.086522,2.662265,1.718406,7.922453,0.211797,0.333626,0.005311
0.001930,0.549178,1.493140,3.130405,3.130405,2.674957,1.731375,7.964690,0.210551,0.332276,0.005255
0.001940,0.546540,1.500346,3.176646,3.176646,2.687721,1.745041,8.007583,0.209301,0.330919,0.005198
0.001950,0.543899,1.507633,3.223629,3.223629,2.700470,1.758800,8.051136,0.208050,0.329562,0.005142
0.001960,0.541254,1.515001,3.271607,3.271607,2.713160,1.772738,8.095341,0.206797,0.328206,0.005086
0.001970,0.538605,1.522451,3.321993,3.321993,2.726132,1.787356,8.140141,0.205542,0.326841,0.005031
0.001980,0.535953,1.529985,3.372959,3.372959,2.738962,1.801985,8.185648,0.204286,0.325479,0.004975
0.001990,0.533297,1.537604,3.426106,3.426106,2.751658,1.817187,8.231897,0.203029,0.324117,0.004919
0.002000,0.530638,1.545309,3.479671,3.479671,2.764409,1.832329,8.278841,0.201769,0.322753,0.004863
0.002010,0.527976,1.553102,3.535434,3.535434,2.777101,1.848027,8.326685,0.200504,0.321383,0.004808
0.002020,0.525310,1.560984,3.591769,3.591769,2.789668,1.863703,8.375158,0.199240,0.320018,0.004752
0.002030,0.522641,1.568955,3.650030,3.650030,2.802031,1.879820,8.424418,0.197976,0.318651,0.004697
0.002040,0.519969,1.577018,3.710466,3.710466,2.814257,1.896447,8.474473,0.196710,0.317282,0.004641
0.002050,0.517293,1.585174,3.772537,3.772537,2.826375,1.913387,8.525349,0.195443,0.315912,0.004586
0.002060,0.514615,1.593425,3.836321,3.836321,2.838609,1.930653,8.576952,0.194174,0.314539,0.004531
0.002070,0.511933,1.601771,3.903136,3.903136,2.850515,1.948674,8.629630,0.192900,0.313162,0.004476
0.002080,0.509249,1.610214,3.971404,3.971404,2.862117,1.966903,8.683078,0.191627,0.311788,0.004421
0.002090,0.506562,1.618757,4.041805,4.041805,2.873541,1.985556,8.737406,0.190353,0.310412,0.004366
0.002100,0.503871,1.627400,4.113998,4.113998,2.884538,2.004504,8.792726,0.189078,0.309037,0.004312
0.002110,0.501178,1.636144,4.188833,4.188833,2.895357,2.024009,8.848972,0.187801,0.307660,0.004257
0.002120,0.498482,1.644993,4.266431,4.266431,2.905712,2.044091,8.906251,0.186522,0.306281,0.004202
0.002130,0.495784,1.653947,4.346646,4.346646,2.915648,2.064681,8.964545,0.185243,0.304902,0.004148
0.002140,0.493082,1.663008,4.430383,4.430383,2.925012,2.086044,9.023928,0.183962,0.303522,0.004093
0.002150,0.490378,1.672178,4.516413,4.516413,2.934328,2.107772,9.084306,0.182679,0.302138,0.004039
0.002160,0.487672,1.681458,4.604160,4.604160,2.942914,2.129670,9.145843,0.181394,0.300757,0.003985
0.002170,0.484962,1.690853,4.697623,4.697623,2.950460,2.152948,9.208681,0.180109,0.299373,0.003931
0.002180,0.482251,1.700360,4.792512,4.792512,2.958087,2.176262,9.272646,0.178819,0.297984,0.003877
0.002190,0.479537,1.709982,4.892242,4.892242,2.964599,2.200625,9.337851,0.177530,0.296597,0.003823
0.002200,0.476821,1.719723,4.995564,4.995564,2.970191,2.225630,9.404368,0.176241,0.295210,0.003769
0.002210,0.474102,1.729587,5.102608,5.102608,2.975204,2.251287,9.472157,0.174950,0.293822,0.003715
0.002220,0.471380,1.739572,5.212426,5.212426,2.979525,2.277290,9.541245,0.173657,0.292434,0.003662
0.002230,0.468657,1.749680,5.328410,5.328410,2.982440,2.304599,9.612042,0.172361,0.291040,0.003608
0.002240,0.465931,1.759916,5.447407,5.447407,2.984496,2.332262,9.684140,0.171066,0.289649,0.003554
0.002250,0.463203,1.770281,5.573025,5.573025,2.985030,2.361276,9.757909,0.169770,0.288258,0.003501
0.002260,0.460473,1.780777,5.700798,5.700798,2.985665,2.390341,9.832855,0.168472,0.286865,0.003448
0.002270,0.457741,1.791407,5.837009,5.837009,2.983799,2.421178,9.909866,0.167173,0.285471,0.003394
0.002280,0.455006,1.802173,5.975205,5.975205,2.981031,2.451952,9.988471,0.165873,0.284078,0.003341
0.002290,0.452270,1.813077,6.120418,6.120418,2.977426,2.484013,10.068662,0.164572,0.282684,0.003288
0.002300,0.449531,1.824123,6.270310,6.270310,2.972737,2.516677,10.150588,0.163270,0.281288,0.003235
0.002310,0.446790,1.835313,6.428094,6.428094,2.965724,2.550758,10.234728,0.161967,0.279892,0.003182
0.002320,0.444048,1.846649,6.589686,6.589686,2.958634,2.585124,10.320373,0.160662,0.278495,0.003130
0.002330,0.441303,1.858133,6.757624,6.757624,2.951122,2.620403,10.407629,0.159357,0.277097,0.003077
0.002340,0.438557,1.869769,6.930454,6.930454,2.941596,2.656174,10.497163,0.158050,0.275699,0.003025
0.002350,0.435808,1.881561,7.112057,7.112057,2.930723,2.693377,10.588814,0.156743,0.274300,0.002973
0.002360,0.433058,1.893510,7.299182,7.299182,2.920275,2.731133,10.681950,0.155434,0.272901,0.002921
0.002370,0.430307,1.905618,7.492288,7.492288,2.907679,2.769510,10.777626,0.154125,0.271501,0.002870
0.002380,0.427553,1.917890,7.692510,7.692510,2.895523,2.808740,10.874884,0.152814,0.270101,0.002819
0.002390,0.424798,1.930328,7.901273,7.901273,2.882694,2.849111,10.974227,0.151503,0.268700,0.002768
0.002400,0.422041,1.942937,8.112229,8.112229,2.868763,2.889045,11.075944,0.150190,0.267298,0.002717
0.002410,0.419283,1.955721,8.331916,8.331916,2.856357,2.930067,11.178934,0.148876,0.265895,0.002667
0.002420,0.416523,1.968681,8.564310,8.564310,2.841664,2.973027,11.284901,0.147562,0.264492,0.002617
0.002430,0.413761,1.981821,8.797395,8.797395,2.827298,3.015075,11.392785,0.146247,0.263089,0.002568
0.002440,0.410998,1.995144,9.037442,9.037442,2.815167,3.057631,11.501760,0.144930,0.261686,0.002520
0.002450,0.408233,2.008656,9.294204,9.294204,2.799624,3.102813,11.614491,0.143613,0.260281,0.002471
0.002460,0.405467,2.022359,9.551324,9.551324,2.785164,3.146890,11.728973,0.142295,0.258877,0.002423
0.002470,0.402700,2.036258,9.814004,9.814004,2.773335,3.190998,11.844468,0.140976,0.257472,0.002376
0.002480,0.399931,2.050356,10.095663,10.095663,2.758400,3.237969,11.963850,0.139657,0.256066,0.002329
0.002490,0.397160,2.064658,10.377232,10.377232,2.745989,3.283623,12.084471,0.138336,0.254658,0.002283
0.002500,0.394389,2.079167,10.670044,10.670044,2.733737,3.330333,12.207448,0.137014,0.253252,0.002237
0.002510,0.391616,2.093888,10.975673,10.975673,2.719930,3.378333,12.334162,0.135688,0.251840,0.002191
0.002520,0.388842,2.108825,11.281328,11.281328,2.709212,3.424937,12.461468,0.134365,0.250433,0.002147
