t(s),Req(m),CR,CV,Cn,kappa,T_gain,k,a,R0,tau_e
0.000310,0.818895,1.001350,1.004337,1.004337,1.695807,0.959949,5.321639,0.342670,0.478583,0.007062
0.000320,0.818749,1.001527,1.004921,1.004921,1.696386,0.958962,5.323007,0.342552,0.478454,0.007059
0.000330,0.818592,1.001720,1.005558,1.005558,1.697018,0.958009,5.324502,0.342423,0.478314,0.007055
0.000340,0.818421,1.001929,1.006248,1.006248,1.697702,0.957089,5.326122,0.342283,0.478162,0.007050
0.000350,0.818241,1.002149,1.006975,1.006975,1.698425,0.956192,5.327833,0.342136,0.478002,0.007046
0.000360,0.818049,1.002385,1.007754,1.007754,1.699199,0.955328,5.329666,0.341978,0.477830,0.007041
0.000370,0.817843,1.002638,1.008556,1.008556,1.700028,0.954478,5.331635,0.341809,0.477648,0.007036
0.000380,0.817621,1.002909,1.009458,1.009458,1.700921,0.953690,5.333749,0.341627,0.477451,0.007030
0.000390,0.817384,1.003200,1.010423,1.010423,1.701878,0.952940,5.336014,0.341433,0.477240,0.007024
0.000400,0.817131,1.003511,1.011453,1.011453,1.702900,0.952231,5.338435,0.341226,0.477014,0.007018
0.000410,0.816862,1.003842,1.012551,1.012551,1.703991,0.951562,5.341020,0.341005,0.476774,0.007011
0.000420,0.816575,1.004195,1.013686,1.013686,1.705149,0.950915,5.343770,0.340770,0.476520,0.007004
0.000430,0.816270,1.004569,1.014934,1.014934,1.706367,0.950337,5.346656,0.340524,0.476252,0.006996
0.000440,0.815947,1.004967,1.016255,1.016255,1.707650,0.949802,5.349697,0.340265,0.475970,0.006988
0.000450,0.815605,1.005388,1.017652,1.017652,1.709007,0.949312,5.352917,0.339991,0.475672,0.006980
0.000460,0.815244,1.005834,1.019098,1.019098,1.710439,0.948850,5.356320,0.339703,0.475359,0.006971
0.000470,0.814863,1.006304,1.020661,1.020661,1.711953,0.948457,5.359911,0.339399,0.475028,0.006962
0.000480,0.814462,1.006799,1.022305,1.022305,1.713547,0.948112,5.363693,0.339079,0.474680,0.006952
0.000490,0.814040,1.007321,1.024005,1.024005,1.715208,0.947797,5.367644,0.338746,0.474319,0.006942
0.000500,0.813597,1.007870,1.025827,1.025827,1.716928,0.947554,5.371728,0.338403,0.473944,0.006931
0.000510,0.813133,1.008446,1.027699,1.027699,1.718729,0.947338,5.376017,0.338043,0.473553,0.006920
0.000520,0.812646,1.009049,1.029706,1.029706,1.720618,0.947199,5.380502,0.337667,0.473142,0.006909
0.000530,0.812137,1.009682,1.031799,1.031799,1.722569,0.947110,5.385141,0.337280,0.472719,0.006897
0.000540,0.811606,1.010343,1.033957,1.033957,1.724579,0.947054,5.389932,0.336881,0.472284,0.006884
0.000550,0.811051,1.011034,1.036244,1.036244,1.726678,0.947072,5.394925,0.336467,0.471830,0.006872
0.000560,0.810473,1.011754,1.038593,1.038593,1.728815,0.947123,5.400025,0.336045,0.471370,0.006859
0.000570,0.809872,1.012506,1.041080,1.041080,1.731030,0.947250,5.405299,0.335609,0.470891,0.006845
0.000580,0.809246,1.013288,1.043620,1.043620,1.733276,0.947404,5.410672,0.335167,0.470408,0.006832
0.000590,0.808597,1.014102,1.046294,1.046294,1.735587,0.947632,5.416189,0.334714,0.469911,0.006818
0.000600,0.807923,1.014948,1.049068,1.049068,1.737919,0.947913,5.421761,0.334259,0.469409,0.006804
0.000610,0.807224,1.015827,1.051944,1.051944,1.740286,0.948249,5.427422,0.333797,0.468900,0.006790
0.000620,0.806501,1.016738,1.054925,1.054925,1.742698,0.948640,5.433195,0.333328,0.468381,0.006775
0.000630,0.805752,1.017683,1.058017,1.058017,1.745111,0.949089,5.438978,0.332859,0.467862,0.006761
0.000640,0.804966,1.018677,1.061263,1.061263,1.747604,0.949622,5.444955,0.332377,0.467326,0.006746
0.000650,0.804155,1.019704,1.064607,1.064607,1.750115,0.950205,5.450982,0.331892,0.466786,0.006731
0.000660,0.803326,1.020756,1.068035,1.068035,1.752644,0.950828,5.457056,0.331405,0.466243,0.006716
0.000670,0.802464,1.021852,1.071600,1.071600,1.755215,0.951524,5.463236,0.330911,0.465691,0.006701
0.000680,0.801577,1.022984,1.075276,1.075276,1.757866,0.952274,5.469609,0.330403,0.465124,0.006685
0.000690,0.800664,1.024150,1.079070,1.079070,1.760506,0.953085,5.475968,0.329899,0.464559,0.006670
0.000700,0.799726,1.025351,1.082982,1.082982,1.763216,0.953954,5.482492,0.329383,0.463980,0.006654
0.000710,0.798771,1.026578,1.086968,1.086968,1.765982,0.954855,5.489152,0.328858,0.463391,0.006638
0.000720,0.797792,1.027836,1.091060,1.091060,1.768727,0.955807,5.495770,0.328338,0.462806,0.006622
0.000730,0.796790,1.029130,1.095275,1.095275,1.771534,0.956819,5.502545,0.327808,0.462210,0.006605
0.000740,0.795762,1.030459,1.099622,1.099622,1.774418,0.957897,5.509507,0.327265,0.461599,0.006589
0.000750,0.794709,1.031824,1.104054,1.104054,1.777378,0.959010,5.516657,0.326710,0.460974,0.006572
0.000760,0.793631,1.033226,1.108623,1.108623,1.780339,0.960190,5.523817,0.326156,0.460349,0.006555
0.000770,0.792527,1.034665,1.113309,1.113309,1.783352,0.961424,5.531112,0.325594,0.459715,0.006537
0.000780,0.791399,1.036140,1.118079,1.118079,1.786443,0.962692,5.538593,0.325020,0.459067,0.006520
0.000790,0.790245,1.037652,1.123006,1.123006,1.789608,0.964037,5.546265,0.324433,0.458405,0.006502
0.000800,0.789067,1.039202,1.128036,1.128036,1.792850,0.965425,5.554127,0.323835,0.457730,0.006483
0.000810,0.787864,1.040789,1.133207,1.133207,1.796163,0.966878,5.562166,0.323225,0.457043,0.006465
0.000820,0.786636,1.042413,1.138469,1.138469,1.799467,0.968368,5.570191,0.322619,0.456358,0.006446
0.000830,0.785384,1.044075,1.143895,1.143895,1.802846,0.969934,5.578408,0.322002,0.455660,0.006427
0.000840,0.784108,1.045774,1.149424,1.149424,1.806302,0.971542,5.586815,0.321373,0.454949,0.006408
0.000850,0.782808,1.047512,1.155086,1.155086,1.809833,0.973208,5.595412,0.320732,0.454225,0.006388
0.000860,0.781483,1.049287,1.160891,1.160891,1.813441,0.974936,5.604204,0.320080,0.453489,0.006368
0.000870,0.780135,1.051100,1.166829,1.166829,1.817125,0.976720,5.613188,0.319417,0.452740,0.006348
0.000880,0.778764,1.052951,1.172882,1.172882,1.820886,0.978550,5.622367,0.318742,0.451979,0.006327
0.000890,0.777369,1.054840,1.179041,1.179041,1.824670,0.980419,5.631612,0.318066,0.451215,0.006306
0.000900,0.775952,1.056767,1.185352,1.185352,1.828404,0.982353,5.640752,0.317401,0.450462,0.006286
0.000910,0.774511,1.058733,1.191781,1.191781,1.832215,0.984332,5.650082,0.316726,0.449696,0.006265
0.000920,0.773048,1.060737,1.198355,1.198355,1.836099,0.986370,5.659605,0.316039,0.448918,0.006244
0.000930,0.771562,1.062779,1.205110,1.205110,1.840068,0.988486,5.669318,0.315342,0.448129,0.006223
0.000940,0.770054,1.064860,1.211899,1.211899,1.844114,0.990599,5.679224,0.314635,0.447329,0.006201
0.000950,0.768524,1.066980,1.218865,1.218865,1.848231,0.992786,5.689327,0.313917,0.446518,0.006179
0.000960,0.766973,1.069138,1.226069,1.226069,1.852428,0.995080,5.699625,0.313189,0.445694,0.006157
0.000970,0.765400,1.071336,1.233302,1.233302,1.856701,0.997365,5.710122,0.312451,0.444860,0.006134
0.000980,0.763806,1.073572,1.240696,1.240696,1.861049,0.999713,5.720820,0.311704,0.444016,0.006111
0.000990,0.762190,1.075847,1.248325,1.248325,1.865479,1.002163,5.731718,0.310945,0.443159,0.006088
0.001000,0.760555,1.078161,1.255936,1.255936,1.869985,1.004577,5.742814,0.310178,0.442293,0.006064
0.001010,0.758898,1.080514,1.263768,1.263768,1.874566,1.007084,5.754117,0.309401,0.441416,0.006040
0.001020,0.757221,1.082907,1.271759,1.271759,1.879223,1.009649,5.765627,0.308614,0.440529,0.006016
0.001030,0.755515,1.085353,1.279982,1.279982,1.883995,1.012309,5.777407,0.307812,0.439625,0.005992
0.001040,0.753790,1.087836,1.288300,1.288300,1.888836,1.014991,5.789381,0.307003,0.438713,0.005967
0.001050,0.752051,1.090352,1.296726,1.296726,1.893740,1.017701,5.801529,0.306186,0.437794,0.005942
0.001060,0.750287,1.092915,1.305304,1.305304,1.898735,1.020462,5.813927,0.305358,0.436864,0.005917
0.001070,0.748505,1.095518,1.314142,1.314142,1.903808,1.023328,5.826527,0.304522,0.435922,0.005891
0.001080,0.746704,1.098160,1.323063,1.323063,1.908972,1.026207,5.839342,0.303676,0.434971,0.005865
0.001090,0.744885,1.100841,1.332104,1.332104,1.914223,1.029117,5.852363,0.302822,0.434010,0.005839
0.001100,0.743054,1.103553,1.341366,1.341366,1.919534,1.032108,5.865547,0.301962,0.433043,0.005813
0.001110,0.741207,1.106303,1.350841,1.350841,1.924909,1.035176,5.878940,0.301095,0.432070,0.005787
0.001120,0.739343,1.109093,1.360342,1.360342,1.930367,1.038225,5.892543,0.300219,0.431088,0.005760
0.001130,0.737462,1.111922,1.370036,1.370036,1.935908,1.041338,5.906360,0.299336,0.430097,0.005733
0.001140,0.735563,1.114792,1.379964,1.379964,1.941525,1.044534,5.920401,0.298444,0.429097,0.005706
0.001150,0.733648,1.117702,1.390094,1.390094,1.947231,1.047798,5.934667,0.297544,0.428087,0.005679
0.001160,0.731716,1.120654,1.400285,1.400285,1.953028,1.051056,5.949159,0.296636,0.427069,0.005651
0.001170,0.729767,1.123646,1.410744,1.410744,1.958887,1.054410,5.963872,0.295720,0.426044,0.005623
0.001180,0.727802,1.126679,1.421316,1.421316,1.964834,1.057784,5.978808,0.294797,0.425011,0.005595
0.001190,0.725822,1.129754,1.432132,1.432132,1.970873,1.061241,5.993972,0.293866,0.423968,0.005567
0.001200,0.723825,1.132870,1.443093,1.443093,1.976982,1.064729,6.009370,0.292928,0.422919,0.005538
0.001210,0.721813,1.136028,1.454257,1.454257,1.983183,1.068278,6.024989,0.291983,0.421861,0.005510
0.001220,0.719786,1.139228,1.465660,1.465660,1.989460,1.071903,6.040850,0.291030,0.420797,0.005481
0.001230,0.717744,1.142469,1.477081,1.477081,1.995833,1.075494,6.056942,0.290070,0.419727,0.005452
0.001240,0.715686,1.145753,1.488837,1.488837,2.002283,1.079206,6.073271,0.289103,0.418648,0.005422
0.001250,0.713615,1.149080,1.500838,1.500838,2.008836,1.082993,6.089837,0.288129,0.417560,0.005393
0.001260,0.711528,1.152449,1.513162,1.513162,2.015500,1.086891,6.106685,0.287146,0.416460,0.005363
0.001270,0.709428,1.155860,1.525504,1.525504,2.022221,1.090752,6.123741,0.286159,0.415359,0.005333
0.001280,0.707314,1.159315,1.538046,1.538046,2.029024,1.094662,6.141047,0.285164,0.414252,0.005303
0.001290,0.705186,1.162814,1.550738,1.550738,2.035914,1.098596,6.158606,0.284164,0.413138,0.005273
0.001300,0.703045,1.166355,1.563836,1.563836,2.042893,1.102674,6.176407,0.283157,0.412016,0.005243
0.001310,0.700890,1.169941,1.577014,1.577014,2.049966,1.106741,6.194462,0.282143,0.410888,0.005212
0.001320,0.698723,1.173570,1.590554,1.590554,2.057107,1.110927,6.212781,0.281124,0.409754,0.005182
0.001330,0.696542,1.177244,1.604116,1.604116,2.064346,1.115073,6.231357,0.280098,0.408615,0.005151
0.001340,0.694349,1.180962,1.618107,1.618107,2.071686,1.119365,6.250197,0.279066,0.407467,0.005120
0.001350,0.692144,1.184725,1.632328,1.632328,2.079126,1.123710,6.269293,0.278028,0.406312,0.005089
0.001360,0.689926,1.188533,1.646672,1.646672,2.086641,1.128058,6.288657,0.276985,0.405154,0.005057
0.001370,0.687696,1.192387,1.661287,1.661287,2.094258,1.132474,6.308289,0.275936,0.403990,0.005026
0.001380,0.685455,1.196286,1.676231,1.676231,2.101972,1.136984,6.328182,0.274881,0.402818,0.004994
0.001390,0.683202,1.200231,1.691462,1.691462,2.109763,1.141565,6.348362,0.273821,0.401643,0.004963
0.001400,0.680937,1.204223,1.706965,1.706965,2.117645,1.146211,6.368812,0.272756,0.400461,0.004931
0.001410,0.678662,1.208260,1.722661,1.722661,2.125650,1.150882,6.389586,0.271682,0.399272,0.004899
0.001420,0.676375,1.212345,1.738670,1.738670,2.133749,1.155632,6.410639,0.270604,0.398076,0.004867
0.001430,0.674078,1.216477,1.754731,1.754731,2.141923,1.160343,6.431951,0.269523,0.396880,0.004834
0.001440,0.671770,1.220657,1.771251,1.771251,2.150162,1.165194,6.453569,0.268436,0.395679,0.004802
0.001450,0.669451,1.224884,1.788140,1.788140,2.158523,1.170141,6.475468,0.267344,0.394470,0.004770
0.001460,0.667123,1.229159,1.805440,1.805440,2.167008,1.175202,6.497674,0.266246,0.393254,0.004737
0.001470,0.664784,1.233483,1.822871,1.822871,2.175595,1.180251,6.520174,0.265144,0.392034,0.004704
0.001480,0.662436,1.237856,1.840787,1.840787,2.184234,1.185440,6.542983,0.264038,0.390811,0.004672
0.001490,0.660077,1.242278,1.858815,1.858815,2.192997,1.190607,6.566083,0.262927,0.389584,0.004639
0.001500,0.657710,1.246750,1.877024,1.877024,2.201860,1.195780,6.589501,0.261811,0.388353,0.004606
0.001510,0.655333,1.251272,1.895719,1.895719,2.210796,1.201087,6.613246,0.260691,0.387118,0.004573
0.001520,0.652943,1.255852,1.914786,1.914786,2.219847,1.206477,6.637343,0.259565,0.385877,0.004540
0.001530,0.650545,1.260482,1.934243,1.934243,2.229015,1.211954,6.661757,0.258435,0.384630,0.004507
0.001540,0.648140,1.265159,1.953916,1.953916,2.238271,1.217443,6.686464,0.257302,0.383381,0.004473
0.001550,0.645728,1.269885,1.974212,1.974212,2.247597,1.223111,6.711510,0.256165,0.382128,0.004440
0.001560,0.643307,1.274663,1.994493,1.994493,2.257043,1.228693,6.736878,0.255024,0.380872,0.004407
0.001570,0.640879,1.279494,2.015357,2.015357,2.266585,1.234432,6.762605,0.253879,0.379612,0.004373
0.001580,0.638442,1.284377,2.036692,2.036692,2.276235,1.240278,6.788664,0.252730,0.378347,0.004340
0.001590,0.635997,1.289314,2.058193,2.058193,2.285991,1.246106,6.815060,0.251577,0.377080,0.004306
0.001600,0.633545,1.294304,2.080457,2.080457,2.295822,1.252153,6.841823,0.250421,0.375809,0.004273
0.001610,0.631085,1.299349,2.102806,2.102806,2.305793,1.258145,6.868924,0.249262,0.374534,0.004239
0.001620,0.628618,1.304449,2.125647,2.125647,2.315850,1.264241,6.896434,0.248097,0.373255,0.004205
0.001630,0.626143,1.309605,2.148922,2.148922,2.325981,1.270416,6.924292,0.246930,0.371975,0.004171
0.001640,0.623661,1.314816,2.172920,2.172920,2.336311,1.276780,6.952607,0.245755,0.370683,0.004137
0.001650,0.621173,1.320084,2.197148,2.197148,2.346690,1.283135,6.981216,0.244581,0.369394,0.004104
0.001660,0.618677,1.325409,2.222118,2.222118,2.357133,1.289679,7.010219,0.243403,0.368102,0.004070
0.001670,0.616175,1.330791,2.247097,2.247097,2.367758,1.296124,7.039675,0.242219,0.366804,0.004036
0.001680,0.613666,1.336232,2.272833,2.272833,2.378395,1.302755,7.069481,0.241035,0.365507,0.004002
0.001690,0.611151,1.341731,2.299103,2.299103,2.389185,1.309484,7.099664,0.239848,0.364206,0.003968
0.001700,0.608629,1.347290,2.325989,2.325989,2.400059,1.316337,7.130265,0.238657,0.362902,0.003934
0.001710,0.606102,1.352908,2.353245,2.353245,2.411011,1.323218,7.161292,0.237464,0.361597,0.003900
0.001720,0.603568,1.358587,2.380820,2.380820,2.422149,1.330104,7.192729,0.236267,0.360286,0.003866
0.001730,0.601029,1.364328,2.409443,2.409443,2.433280,1.337265,7.224615,0.235068,0.358975,0.003832
0.001740,0.598483,1.370130,2.438619,2.438619,2.444571,1.344509,7.256929,0.233865,0.357659,0.003798
0.001750,0.595933,1.375994,2.468127,2.468127,2.455931,1.351753,7.289686,0.232660,0.356343,0.003764
0.001760,0.593376,1.381922,2.498467,2.498467,2.467391,1.359176,7.322886,0.231453,0.355024,0.003730
0.001770,0.590815,1.387914,2.529406,2.529406,2.478964,1.366687,7.356551,0.230242,0.353702,0.003696
0.001780,0.588248,1.393971,2.560817,2.560817,2.490606,1.374237,7.390679,0.229029,0.352379,0.003662
0.001790,0.585676,1.400093,2.593095,2.593095,2.502355,1.381964,7.425285,0.227813,0.351052,0.003627
0.001800,0.583098,1.406281,2.626160,2.626160,2.514202,1.389832,7.460366,0.226595,0.349723,0.003593
0.001810,0.580516,1.412536,2.659781,2.659781,2.526111,1.397755,7.495941,0.225375,0.348393,0.003559
0.001820,0.577929,1.418859,2.694347,2.694347,2.538121,1.405864,7.532015,0.224152,0.347060,0.003525
0.001830,0.575338,1.425250,2.729469,2.729469,2.550207,1.414019,7.568597,0.222927,0.345726,0.003491
0.001840,0.572741,1.431711,2.765725,2.765725,2.562381,1.422414,7.605691,0.221700,0.344389,0.003457
0.001850,0.570140,1.438242,2.802038,2.802038,2.574692,1.430673,7.643289,0.220470,0.343051,0.003423
0.001860,0.567535,1.444845,2.840200,2.840200,2.587050,1.439401,7.681487,0.219236,0.341707,0.003390
0.001870,0.564925,1.451519,2.878854,2.878854,2.599401,1.448131,7.720213,0.218002,0.340365,0.003356
0.001880,0.562311,1.458267,2.918566,2.918566,2.611851,1.457047,7.759476,0.216766,0.339021,0.003322
0.001890,0.559693,1.465088,2.958767,2.958767,2.624461,1.465954,7.799330,0.215526,0.337674,0.003288
0.001900,0.557070,1.471988,3.000670,3.000670,2.636982,1.475245,7.839780,0.214285,0.336325,0.003254
0.001910,0.554443,1.478963,3.042429,3.042429,2.649663,1.484308,7.880789,0.213042,0.334977,0.003220
0.001920,0.551812,1.486012,3.086522,3.086522,2.662265,1.493944,7.922453,0.211797,0.333626,0.003186
0.001930,0.549178,1.493140,3.130405,3.130405,2.674957,1.503320,7.964690,0.210551,0.332276,0.003153
0.001940,0.546540,1.500346,3.176646,3.176646,2.687721,1.513255,8.007583,0.209301,0.330919,0.003119
0.001950,0.543899,1.507633,3.223629,3.223629,2.700470,1.523221,8.051136,0.208050,0.329562,0.003085
0.001960,0.541254,1.515001,3.271607,3.271607,2.713160,1.533292,8.095341,0.206797,0.328206,0.003052
0.001970,0.538605,1.522451,3.321993,3.321993,2.726132,1.543900,8.140141,0.205542,0.326841,0.003018
0.001980,0.535953,1.529985,3.372959,3.372959,2.738962,1.554463,8.185648,0.204286,0.325479,0.002985
0.001990,0.533297,1.537604,3.426106,3.426106,2.751658,1.565466,8.231897,0.203029,0.324117,0.002951
0.002000,0.530638,1.545309,3.479671,3.479671,2.764409,1.576360,8.278841,0.201769,0.322753,0.002918
0.002010,0.527976,1.553102,3.535434,3.535434,2.777101,1.587674,8.326685,0.200504,0.321383,0.002885
0.002020,0.525310,1.560984,3.591769,3.591769,2.789668,1.598911,8.375158,0.199240,0.320018,0.002851
0.002030,0.522641,1.568955,3.650030,3.650030,2.802031,1.610463,8.424418,0.197976,0.318651,0.002818
0.002040,0.519969,1.577018,3.710466,3.710466,2.814257,1.622389,8.474473,0.196710,0.317282,0.002785
0.002050,0.517293,1.585174,3.772537,3.772537,2.826375,1.634518,8.525349,0.195443,0.315912,0.002752
0.002060,0.514615,1.593425,3.836321,3.836321,2.838609,1.646858,8.576952,0.194174,0.314539,0.002719
0.002070,0.511933,1.601771,3.903136,3.903136,2.850515,1.659770,8.629630,0.192900,0.313162,0.002686
0.002080,0.509249,1.610214,3.971404,3.971404,2.862117,1.672789,8.683078,0.191627,0.311788,0.002653
0.002090,0.506562,1.618757,4.041805,4.041805,2.873541,1.686091,8.737406,0.190353,0.310412,0.002620
0.002100,0.503871,1.627400,4.113998,4.113998,2.884538,1.699568,8.792726,0.189078,0.309037,0.002587
0.002110,0.501178,1.636144,4.188833,4.188833,2.895357,1.713438,8.848972,0.187801,0.307660,0.002554
0.002120,0.498482,1.644993,4.266431,4.266431,2.905712,1.727712,8.906251,0.186522,0.306281,0.002521
0.002130,0.495784,1.653947,4.346646,4.346646,2.915648,1.742331,8.964545,0.185243,0.304902,0.002489
0.002140,0.493082,1.663008,4.430383,4.430383,2.925012,1.757514,9.023928,0.183962,0.303522,0.002456
0.002150,0.490378,1.672178,4.516413,4.516413,2.934328,1.772911,9.084306,0.182679,0.302138,0.002424
0.002160,0.487672,1.681458,4.604160,4.604160,2.942914,1.788355,9.145843,0.181394,0.300757,0.002391
0.002170,0.484962,1.690853,4.697623,4.697623,2.950460,1.804860,9.208681,0.180109,0.299373,0.002358
0.002180,0.482251,1.700360,4.792512,4.792512,2.958087,1.821291,9.272646,0.178819,0.297984,0.002326
0.002190,0.479537,1.709982,4.892242,4.892242,2.964599,1.838494,9.337851,0.177530,0.296597,0.002294
0.002200,0.476821,1.719723,4.995564,4.995564,2.970191,1.856121,9.404368,0.176241,0.295210,0.002261
0.002210,0.474102,1.729587,5.102608,5.102608,2.975204,1.874176,9.472157,0.174950,0.293822,0.002229
0.002220,0.471380,1.739572,5.212426,5.212426,2.979525,1.892400,9.541245,0.173657,0.292434,0.002197
0.002230,0.468657,1.749680,5.328410,5.328410,2.982440,1.911583,9.612042,0.172361,0.291040,0.002165
0.002240,0.465931,1.759916,5.447407,5.447407,2.984496,1.930930,9.684140,0.171066,0.289649,0.002133
0.002250,0.463203,1.770281,5.573025,5.573025,2.985030,1.951261,9.757909,0.169770,0.288258,0.002100
0.002260,0.460473,1.780777,5.700798,5.700798,2.985665,1.971492,9.832855,0.168472,0.286865,0.002069
0.002270,0.457741,1.791407,5.837009,5.837009,2.983799,1.993037,9.909866,0.167173,0.285471,0.002037
0.002280,0.455006,1.802173,5.975205,5.975205,2.981031,2.014378,9.988471,0.165873,0.284078,0.002005
0.002290,0.452270,1.813077,6.120418,6.120418,2.977426,2.036616,10.068662,0.164572,0.282684,0.001973
0.002300,0.449531,1.824123,6.270310,6.270310,2.972737,2.059183,10.150588,0.163270,0.281288,0.001941
0.002310,0.446790,1.835313,6.428094,6.428094,2.965724,2.082738,10.234728,0.161967,0.279892,0.001909
0.002320,0.444048,1.846649,6.589686,6.589686,2.958634,2.106343,10.320373,0.160662,0.278495,0.001878
0.002330,0.441303,1.858133,6.757624,6.757624,2.951122,2.130507,10.407629,0.159357,0.277097,0.001846
0.002340,0.438557,1.869769,6.930454,6.930454,2.941596,2.154876,10.497163,0.158050,0.275699,0.001815
0.002350,0.435808,1.881561,7.112057,7.112057,2.930723,2.180206,10.588814,0.156743,0.274300,0.001784
0.002360,0.433058,1.893510,7.299182,7.299182,2.920275,2.205772,10.681950,0.155434,0.272901,0.001753
0.002370,0.430307,1.905618,7.492288,7.492288,2.907679,2.231623,10.777626,0.154125,0.271501,0.001722
0.002380,0.427553,1.917890,7.692510,7.692510,2.895523,2.257934,10.874884,0.152814,0.270101,0.001691
0.002390,0.424798,1.930328,7.901273,7.901273,2.882694,2.284927,10.974227,0.151503,0.268700,0.001661
0.002400,0.422041,1.942937,8.112229,8.112229,2.868763,2.311328,11.075944,0.150190,0.267298,0.001630
0.002410,0.419283,1.955721,8.331916,8.331916,2.856357,2.338349,11.178934,0.148876,0.265895,0.001600
0.002420,0.416523,1.968681,8.564310,8.564310,2.841664,2.366654,11.284901,0.147562,0.264492,0.001570
0.002430,0.413761,1.981821,8.797395,8.797395,2.827298,2.393962,11.392785,0.146247,0.263089,0.001541
0.002440,0.410998,1.995144,9.037442,9.037442,2.815167,2.421397,11.501760,0.144930,0.261686,0.001512
0.002450,0.408233,2.008656,9.294204,9.294204,2.799624,2.450621,11.614491,0.143613,0.260281,0.001483
0.002460,0.405467,2.022359,9.551324,9.551324,2.785164,2.478671,11.728973,0.142295,0.258877,0.001454
0.002470,0.402700,2.036258,9.814004,9.814004,2.773335,2.506439,11.844468,0.140976,0.257472,0.001426
0.002480,0.399931,2.050356,10.095663,10.095663,2.758400,2.536135,11.963850,0.139657,0.256066,0.001397
0.002490,0.397160,2.064658,10.377232,10.377232,2.745989,2.564467,12.084471,0.138336,0.254658,0.001370
0.002500,0.394389,2.079167,10.670044,10.670044,2.733737,2.593284,12.207448,0.137014,0.253252,0.001342
0.002510,0.391616,2.093888,10.975673,10.975673,2.719930,2.622750,12.334162,0.135688,0.251840,0.001315
0.002520,0.388842,2.108825,11.281328,11.281328,2.709212,2.650769,12.461468,0.134365,0.250433,0.001288
